horizon_sessions,factor,factor_label,target,version,decile,average_target
5,trend_5d,5日趋势,收益,原始,1,0.0028099940215420777
5,trend_5d,5日趋势,收益,原始,2,0.004091084835308885
5,trend_5d,5日趋势,收益,原始,3,0.004137810883045
5,trend_5d,5日趋势,收益,原始,4,0.003076765614159212
5,trend_5d,5日趋势,收益,原始,5,0.003301587699482281
5,trend_5d,5日趋势,收益,原始,6,0.002614910272141251
5,trend_5d,5日趋势,收益,原始,7,0.0023596084782450477
5,trend_5d,5日趋势,收益,原始,8,0.0023964085888030346
5,trend_5d,5日趋势,收益,原始,9,0.0010919496390008525
5,trend_5d,5日趋势,收益,原始,10,0.0025906996008421704
5,trend_5d,5日趋势,收益,中性化,1,0.002932851604014406
5,trend_5d,5日趋势,收益,中性化,2,0.004181608323407479
5,trend_5d,5日趋势,收益,中性化,3,0.003846242370888771
5,trend_5d,5日趋势,收益,中性化,4,0.004340373739703222
5,trend_5d,5日趋势,收益,中性化,5,0.0025212279297357845
5,trend_5d,5日趋势,收益,中性化,6,0.0029679450402525813
5,trend_5d,5日趋势,收益,中性化,7,0.0019328687111229944
5,trend_5d,5日趋势,收益,中性化,8,0.0014355110475392022
5,trend_5d,5日趋势,收益,中性化,9,0.0018719455328971447
5,trend_5d,5日趋势,收益,中性化,10,0.0020080226357721163
5,trend_20d,20日趋势,收益,原始,1,0.002758013606659823
5,trend_20d,20日趋势,收益,原始,2,0.0025096656433529606
5,trend_20d,20日趋势,收益,原始,3,0.003180832224975483
5,trend_20d,20日趋势,收益,原始,4,0.0029366228593015525
5,trend_20d,20日趋势,收益,原始,5,0.00263923569919603
5,trend_20d,20日趋势,收益,原始,6,0.0024534321658714166
5,trend_20d,20日趋势,收益,原始,7,0.0034219726251184177
5,trend_20d,20日趋势,收益,原始,8,0.002284804377088948
5,trend_20d,20日趋势,收益,原始,9,0.0030133745821863075
5,trend_20d,20日趋势,收益,原始,10,0.002873434324585443
5,trend_20d,20日趋势,收益,中性化,1,0.0022623525029320793
5,trend_20d,20日趋势,收益,中性化,2,0.0033456657127217304
5,trend_20d,20日趋势,收益,中性化,3,0.002443067334760058
5,trend_20d,20日趋势,收益,中性化,4,0.003623066210993705
5,trend_20d,20日趋势,收益,中性化,5,0.0033285859832165106
5,trend_20d,20日趋势,收益,中性化,6,0.0030843039109291147
5,trend_20d,20日趋势,收益,中性化,7,0.002410352739313952
5,trend_20d,20日趋势,收益,中性化,8,0.002792999501571396
5,trend_20d,20日趋势,收益,中性化,9,0.002048027349063963
5,trend_20d,20日趋势,收益,中性化,10,0.002354270305459751
5,trend_60_ex_20,60日剔除近20日趋势,收益,原始,1,0.0022430207086690706
5,trend_60_ex_20,60日剔除近20日趋势,收益,原始,2,0.0027567763914736866
5,trend_60_ex_20,60日剔除近20日趋势,收益,原始,3,0.0032871705071571885
5,trend_60_ex_20,60日剔除近20日趋势,收益,原始,4,0.00291763712505297
5,trend_60_ex_20,60日剔除近20日趋势,收益,原始,5,0.004637337089498315
5,trend_60_ex_20,60日剔除近20日趋势,收益,原始,6,0.003376414327732608
5,trend_60_ex_20,60日剔除近20日趋势,收益,原始,7,0.003678482378107228
5,trend_60_ex_20,60日剔除近20日趋势,收益,原始,8,0.002000192127637142
5,trend_60_ex_20,60日剔除近20日趋势,收益,原始,9,0.002053048713875751
5,trend_60_ex_20,60日剔除近20日趋势,收益,原始,10,0.001064789388072991
