ts_code,name,healthcare_subindustry,market_cap_100m,first_appointment_date,first_change_date,second_change_date,third_change_date,appointment_date,actual_publish_date,is_published,report_type,announcement_id,source_updated_at,appointment_changed,importance_rank,is_key_stock,report_year
300463.SZ,迈克生物,IVD/体外诊断,54.23859617,2026-07-31,,,,2026-07-31,,False,2026年 半年报,,2026-06-30 18:44:44,False,288,False,2026
603669.SH,灵康药业,化学制药/仿制药,52.7125088,2026-07-31,,,,2026-07-31,,False,2026年 半年报,,2026-06-25 16:51:15,False,295,False,2026
688266.SH,泽璟制药,生物制品/创新药,390.1798868,2026-08-01,,,,2026-08-01,,False,2026年 半年报,,2026-06-25 16:51:19,False,28,True,2026
605507.SH,国邦医药,原料药,120.4823466,2026-08-01,,,,2026-08-01,,False,2026年 半年报,,2026-06-25 16:51:19,False,138,False,2026
603259.SH,药明康德,CXO/CDMO,3804.58880572,2026-08-04,,,,2026-08-04,,False,2026年 半年报,,2026-06-25 16:51:15,False,2,True,2026
603456.SH,九洲药业,CXO/CDMO,132.961868,2026-08-04,,,,2026-08-04,,False,2026年 半年报,,2026-06-25 16:51:15,False,117,False,2026
600201.SH,生物股份,动保/兽药,132.40916298,2026-08-04,,,,2026-08-04,,False,2026年 半年报,,2026-06-25 16:48:14,False,118,False,2026
300298.SZ,三诺生物,医疗设备,84.75194598,2026-08-04,,,,2026-08-04,,False,2026年 半年报,,2026-06-30 18:44:38,False,197,False,2026
300529.SZ,健帆生物,医疗耗材,132.16917715,2026-08-07,,,,2026-08-07,,False,2026年 半年报,,2026-06-30 18:44:44,False,119,False,2026
300146.SZ,汤臣倍健,营养品/维生素,158.67931198,2026-08-08,,,,2026-08-08,,False,2026年 半年报,,2026-06-30 18:44:38,False,91,False,2026
002550.SZ,千红制药,生物制品/创新药,89.84196,2026-08-08,,,,2026-08-08,,False,2026年 半年报,,2026-06-30 18:44:38,False,182,False,2026
600829.SH,人民同泰,医药流通,52.13198514,2026-08-08,,,,2026-08-08,,False,2026年 半年报,,2026-06-25 16:51:15,False,301,False,2026
300725.SZ,药石科技,CXO/CDMO,95.860993,2026-08-11,,,,2026-08-11,,False,2026年 半年报,,2026-06-30 18:44:44,False,171,False,2026
600285.SH,羚锐制药,中药,128.7352185,2026-08-12,,,,2026-08-12,,False,2026年 半年报,,2026-06-25 16:48:14,False,122,False,2026
603538.SH,美诺华,原料药,120.5045469,2026-08-12,,,,2026-08-12,,False,2026年 半年报,,2026-06-25 16:51:15,False,137,False,2026
300497.SZ,富祥股份,原料药,94.2097101,2026-08-12,,,,2026-08-12,,False,2026年 半年报,,2026-06-30 18:44:44,False,175,False,2026
300832.SZ,新产业,IVD/体外诊断,342.18053087,2026-08-25,2026-08-14,,,2026-08-14,,False,2026年 半年报,,2026-06-30 18:44:44,True,33,False,2026
688301.SH,奕瑞科技,医疗设备,314.60035572,2026-08-14,,,,2026-08-14,,False,2026年 半年报,,2026-06-25 16:51:19,False,36,False,2026
600211.SH,西藏药业,生物制品/创新药,126.6714456,2026-08-14,,,,2026-08-14,,False,2026年 半年报,,2026-06-25 16:48:14,False,127,False,2026
300143.SZ,盈康生命,医疗服务,69.0781507,2026-08-14,,,,2026-08-14,,False,2026年 半年报,,2026-06-30 18:44:38,False,243,False,2026
688315.SH,诺禾致源,CXO/CDMO,55.02164,2026-08-14,,,,2026-08-14,,False,2026年 半年报,,2026-06-25 16:51:19,False,285,False,2026
600329.SH,达仁堂,中药,303.34018416,2026-08-15,,,,2026-08-15,,False,2026年 半年报,,2026-06-25 16:48:14,False,38,False,2026
600763.SH,通策医疗,医疗服务,156.28281154,2026-08-15,,,,2026-08-15,,False,2026年 半年报,,2026-06-25 16:51:15,False,93,False,2026
300401.SZ,花园生物,原料药,86.46239442,2026-08-22,2026-08-15,,,2026-08-15,,False,2026年 半年报,,2026-06-30 18:44:38,True,190,False,2026
601089.SH,福元医药,化学制药/创新药,85.68,2026-08-15,,,,2026-08-15,,False,2026年 半年报,,2026-06-25 16:51:15,False,193,False,2026
688505.SH,复旦张江,化学制药/创新药,82.71845358,2026-08-15,,,,2026-08-15,,False,2026年 半年报,,2026-06-25 16:51:19,False,203,False,2026
002173.SZ,创新医疗,医疗服务,74.53291827,2026-08-15,,,,2026-08-15,,False,2026年 半年报,,2026-06-30 18:44:36,False,222,False,2026
300765.SZ,石药创新,原料药,525.17728531,2026-08-21,2026-08-18,,,2026-08-18,,False,2026年 半年报,,2026-06-30 18:44:44,True,20,True,2026
300122.SZ,智飞生物,疫苗,288.69103782,2026-08-18,,,,2026-08-18,,False,2026年 半年报,,2026-06-30 18:44:38,False,43,False,2026
002262.SZ,恩华药业,化学制药/创新药,208.94730012,2026-08-18,,,,2026-08-18,,False,2026年 半年报,,2026-06-30 18:44:36,False,71,False,2026
301363.SZ,美好医疗,医疗设备,152.74602892,2026-08-18,,,,2026-08-18,,False,2026年 半年报,,2026-06-30 18:44:44,False,97,False,2026
301263.SZ,泰恩康,医疗器械其他,100.4344299,2026-08-18,,,,2026-08-18,,False,2026年 半年报,,2026-06-30 18:44:44,False,163,False,2026
300841.SZ,康华生物,疫苗,60.54226071,2026-08-18,,,,2026-08-18,,False,2026年 半年报,,2026-06-30 18:44:44,False,265,False,2026
688656.SH,浩欧博,IVD/体外诊断,58.74835314,2026-08-18,,,,2026-08-18,,False,2026年 半年报,,2026-06-25 16:51:19,False,270,False,2026
688278.SH,特宝生物,生物制品/创新药,227.2799136,2026-08-19,,,,2026-08-19,,False,2026年 半年报,,2026-06-25 16:51:19,False,62,False,2026
600276.SH,恒瑞医药,生物制品/生物科技,3638.51298518,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-25 16:48:14,False,3,True,2026
688271.SH,联影医疗,医疗设备,908.3045318,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-25 16:51:19,False,6,True,2026
002001.SZ,新和成,营养品/维生素,885.1454496,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-30 18:44:36,False,8,True,2026
688578.SH,艾力斯,生物制品/生物科技,531.675,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-25 16:51:19,False,19,True,2026
603392.SH,万泰生物,IVD/体外诊断,359.21399448,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-25 16:51:15,False,30,True,2026
688617.SH,惠泰医疗,医疗耗材,288.719568,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-25 16:51:19,False,42,False,2026
000739.SZ,普洛药业,CXO/CDMO,221.14688324,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-30 18:44:35,False,65,False,2026
600511.SH,国药股份,医药流通,208.6955298,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-25 16:48:14,False,72,False,2026
688321.SH,微芯生物,生物制品/生物科技,125.04232899,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-25 16:51:19,False,129,False,2026
688046.SH,药康生物,CXO/CDMO,100.942,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-25 16:51:19,False,162,False,2026
688139.SH,海尔生物,互联网医疗/医疗IT,86.56080815,2026-08-26,2026-08-20,,,2026-08-20,,False,2026年 半年报,,2026-06-25 16:51:19,True,189,False,2026
002004.SZ,华邦健康,化学制药/仿制药,84.74054176,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-30 18:44:36,False,198,False,2026
000989.SZ,九芝堂,中药,81.05771687,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-30 18:44:36,False,206,False,2026
002219.SZ,新里程,医疗服务,69.038434,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-30 18:44:36,False,244,False,2026
688117.SH,圣诺生物,CXO/CDMO,63.28176287999999,2026-08-20,,,,2026-08-20,,False,2026年 半年报,,2026-06-25 16:51:19,False,253,False,2026
300759.SZ,康龙化成,CXO/CDMO,678.50883348,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:44,False,14,True,2026
688336.SH,三生国健,生物制品/创新药,468.81550674,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-25 16:51:19,False,23,True,2026
000423.SZ,东阿阿胶,中药,313.96301076000003,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:35,False,37,False,2026
300558.SZ,贝达药业,生物制品/生物科技,293.6722622,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:44,False,40,False,2026
000661.SZ,长春高新,生物制品/创新药,292.0833216,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:35,False,41,False,2026
688192.SH,迪哲医药,生物制品/创新药,262.02795147,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-25 16:51:19,False,51,False,2026
300896.SZ,爱美客,医美/美妆,261.6210432,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:44,False,52,False,2026
300199.SZ,翰宇药业,化学制药/创新药,208.62159506,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:38,False,73,False,2026
000766.SZ,通化金马,化学制药/创新药,162.75770748,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:35,False,89,False,2026
688382.SH,益方生物,生物制品/创新药,145.3616736,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-25 16:51:19,False,105,False,2026
000534.SZ,万泽股份,生物制品/创新药,141.7563927,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:35,False,110,False,2026
300244.SZ,迪安诊断,医疗服务,124.1209287,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:38,False,132,False,2026
000908.SZ,石药景峰,化学制药/创新药,120.00122816000004,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:35,False,139,False,2026
600851.SH,海欣股份,化学制药/仿制药,105.25534424,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-25 16:51:15,False,154,False,2026
688677.SH,海泰新光,医疗设备,102.494835,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-25 16:51:19,False,159,False,2026
688513.SH,苑东生物,生物制品/生物科技,101.59433865,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-25 16:51:19,False,161,False,2026
000516.SZ,国际医学,医疗服务,94.48144298,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:35,False,174,False,2026
688276.SH,百克生物,疫苗,61.88317696,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-25 16:51:19,False,258,False,2026
688658.SH,悦康药业,化学制药/创新药,61.11,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-25 16:51:19,False,260,False,2026
002907.SZ,华森制药,中药,60.63498276,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:38,False,264,False,2026
000915.SZ,华特达因,化学制药/创新药,58.55944185,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:35,False,271,False,2026
688151.SH,华强科技,医疗耗材,52.1573,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-25 16:51:19,False,300,False,2026
300233.SZ,金城医药,生物制品/生物科技,51.823071,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:38,False,303,False,2026
002793.SZ,罗欣药业,化学制药/仿制药,51.22541835,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:38,False,305,False,2026
002728.SZ,特一药业,中药,50.97166314,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:38,False,307,False,2026
300006.SZ,莱美药业,化学制药/创新药,50.05019088,2026-08-21,,,,2026-08-21,,False,2026年 半年报,,2026-06-30 18:44:38,False,310,False,2026
000999.SZ,华润三九,中药,414.05741352,2026-08-22,,,,2026-08-22,,False,2026年 半年报,,2026-06-30 18:44:36,False,26,True,2026
600332.SH,白云山,中药,358.64947254,2026-08-22,,,,2026-08-22,,False,2026年 半年报,,2026-06-25 16:48:14,False,31,False,2026
000513.SZ,丽珠集团,生物制品/生物科技,273.4754176,2026-08-22,,,,2026-08-22,,False,2026年 半年报,,2026-06-30 18:44:35,False,47,False,2026
002223.SZ,鱼跃医疗,互联网医疗/医疗IT,269.66629389999997,2026-08-22,,,,2026-08-22,,False,2026年 半年报,,2026-06-30 18:44:36,False,48,False,2026
300003.SZ,乐普医疗,互联网医疗/医疗IT,232.45586728,2026-08-22,,,,2026-08-22,,False,2026年 半年报,,2026-06-30 18:44:38,False,60,False,2026
600535.SH,天士力,中药,217.967305,2026-08-22,,,,2026-08-22,,False,2026年 半年报,,2026-06-25 16:48:14,False,66,False,2026
688114.SH,华大智造,医疗设备,216.75497843999997,2026-08-22,,,,2026-08-22,,False,2026年 半年报,,2026-06-25 16:51:19,False,67,False,2026
