horizon_sessions,market_regime,dimension,bucket,average_forward_return,median_period_return,win_rate,average_forward_drawdown,average_stock_count,period_count
5,医疗独立行情,趋势,弱趋势,-0.005471471833548786,0.0009142535465573301,0.5,-0.029036666407903103,96.6875,16
5,医疗独立行情,趋势,中趋势,-0.003294213351483964,0.005196409616712033,0.5625,-0.030749332603353902,131.6875,16
5,医疗独立行情,趋势,强趋势,-0.002362536806884453,0.006030053588659297,0.5625,-0.04194310336135677,72.0,16
5,大盘独涨,趋势,弱趋势,0.0017953133048103991,0.0027554687149123486,0.5185185185185185,-0.0313423285398978,101.66666666666667,27
5,大盘独涨,趋势,中趋势,0.0010381612852384452,-0.003274511729170971,0.48148148148148145,-0.030122976171647612,135.92592592592592,27
5,大盘独涨,趋势,强趋势,-0.00027762820407526974,-0.0022031725298088975,0.4444444444444444,-0.03878943576699277,65.81481481481481,27
5,防御/修复,趋势,弱趋势,0.003563961452613411,0.0014121486129726724,0.5079365079365079,-0.030022769848770073,104.9047619047619,63
5,防御/修复,趋势,中趋势,0.0025536679068647273,-0.0026705001578267895,0.4603174603174603,-0.027461840774968434,130.1904761904762,63
5,防御/修复,趋势,强趋势,0.002617521674570567,-0.00269734837929382,0.47619047619047616,-0.03271402020544711,66.33333333333333,63
5,风险偏好,趋势,弱趋势,0.0024857187972700786,0.00504428192040478,0.6,-0.022519762473494066,96.65,40
5,风险偏好,趋势,中趋势,0.0021139096021025143,0.0016001946568956781,0.525,-0.024192503199637144,136.125,40
5,风险偏好,趋势,强趋势,0.0051170584732961825,0.0019279113517250619,0.55,-0.03681470015616263,69.575,40
20,医疗独立行情,趋势,弱趋势,0.0222704334474832,0.05741927644913103,0.6666666666666666,-0.039883270947212265,95.66666666666667,3
20,医疗独立行情,趋势,中趋势,0.020549976527136308,0.053400563678948604,0.6666666666666666,-0.04016917035716119,129.0,3
20,医疗独立行情,趋势,强趋势,0.02245954292021919,0.06229613196854435,0.6666666666666666,-0.04989969587000528,75.66666666666667,3
20,大盘独涨,趋势,弱趋势,-0.02984681855100351,-0.035241169770733285,0.125,-0.0880282613636761,99.75,8
20,大盘独涨,趋势,中趋势,-0.027149044251291842,-0.026260166074923548,0.25,-0.08338731040408769,137.125,8
20,大盘独涨,趋势,强趋势,-0.035188664558262,-0.033423507157290505,0.25,-0.09786488874485148,65.125,8
20,防御/修复,趋势,弱趋势,0.028412346800982608,0.01518086804687547,0.5882352941176471,-0.060342236713882225,103.88235294117646,17
20,防御/修复,趋势,中趋势,0.01809431466406213,0.026268814041920035,0.6470588235294118,-0.05494587944571553,131.94117647058823,17
20,防御/修复,趋势,强趋势,0.023676085498717383,0.019288320937562872,0.6470588235294118,-0.060969583284369196,65.11764705882354,17
20,风险偏好,趋势,弱趋势,-0.00022003195851819785,-0.022571166099787345,0.4444444444444444,-0.056694985651369954,98.44444444444444,9
20,风险偏好,趋势,中趋势,0.005059288105898057,-0.011080148755252001,0.3333333333333333,-0.06086321465682746,137.44444444444446,9
20,风险偏好,趋势,强趋势,0.010363783944009552,-0.03128224597576439,0.3333333333333333,-0.09308184770135663,67.22222222222223,9
120,大盘独涨,趋势,弱趋势,-0.12234602196492056,-0.12234602196492056,0.0,-0.2075388198371744,98.0,1
120,大盘独涨,趋势,中趋势,-0.14014217110334312,-0.14014217110334312,0.0,-0.19074783732222853,136.0,1
120,大盘独涨,趋势,强趋势,-0.12142790171147942,-0.12142790171147942,0.0,-0.19904240484500074,64.0,1
120,防御/修复,趋势,弱趋势,0.12623748320209474,0.1499812953295736,0.6666666666666666,-0.14511832233487512,106.66666666666667,3
120,防御/修复,趋势,中趋势,0.1318449991233151,0.19618898039906274,0.6666666666666666,-0.11983658717994454,129.33333333333334,3
120,防御/修复,趋势,强趋势,0.15628172599817353,0.10429330978852525,0.6666666666666666,-0.12164578624408096,62.333333333333336,3
120,风险偏好,趋势,弱趋势,-0.04223959992931745,-0.07684296059353048,0.3333333333333333,-0.17208852215119053,97.0,3
120,风险偏好,趋势,中趋势,-0.021230862363898168,-0.046877573986759825,0.3333333333333333,-0.16777368144613772,136.0,3
120,风险偏好,趋势,强趋势,-0.058471814043593494,-0.06491538249924605,0.3333333333333333,-0.21654202338321427,68.0,3
5,医疗独立行情,风险,低风险,-0.0049363028665921,0.0019360160653769862,0.5,-0.026439635536351848,92.0,16
5,医疗独立行情,风险,中风险,-0.005520123567679687,0.004450379774593252,0.5625,-0.031243531533480258,114.375,16
5,医疗独立行情,风险,高风险,-0.00043821221436912586,0.00774388012673619,0.5625,-0.0411325420190393,94.0,16
5,大盘独涨,风险,低风险,0.0017233254696215961,0.0014895597941404976,0.5185185185185185,-0.0234442633038027,91.77777777777777,27
5,大盘独涨,风险,中风险,-0.00047127176399173223,0.0007399223637589732,0.5185185185185185,-0.030938301250643837,117.66666666666667,27
5,大盘独涨,风险,高风险,0.002173825710239711,-0.005419201606504282,0.4074074074074074,-0.042995964396134304,93.96296296296296,27
5,防御/修复,风险,低风险,0.0032766932899036413,-0.00042897426279604566,0.49206349206349204,-0.023284721058693256,91.96825396825396,63
5,防御/修复,风险,中风险,0.0027935483349448807,0.0006218115800073324,0.5079365079365079,-0.027862561964450756,115.5079365079365,63
5,防御/修复,风险,高风险,0.002636030377193317,-0.0017893020871312154,0.47619047619047616,-0.037676239919326206,93.95238095238095,63
5,风险偏好,风险,低风险,0.0031374359016307315,0.004050916703780591,0.55,-0.019214604667071863,91.925,40
5,风险偏好,风险,中风险,0.0020246136567790302,0.004605394782714741,0.55,-0.02427999265936402,116.5,40
5,风险偏好,风险,高风险,0.0038241763563872586,0.0017181777876527768,0.55,-0.03660418784942662,93.925,40
20,医疗独立行情,风险,低风险,0.01761966025408802,0.0636702151868159,0.6666666666666666,-0.03617904799304749,92.0,3
20,医疗独立行情,风险,中风险,0.018641910960617344,0.048732654843305565,0.6666666666666666,-0.039160840404514334,114.33333333333333,3
20,医疗独立行情,风险,高风险,0.029128319578911484,0.07028306004797269,0.6666666666666666,-0.052355886439460264,94.0,3
20,大盘独涨,风险,低风险,-0.015958856205036415,-0.021596946048371687,0.375,-0.06507788059522383,91.5,8
20,大盘独涨,风险,中风险,-0.025389026719961377,-0.02948754039741216,0.25,-0.08212264669012792,116.5,8
20,大盘独涨,风险,高风险,-0.04812493485306583,-0.05612543108466492,0.125,-0.1175340324354441,94.0,8
20,防御/修复,风险,低风险,0.021929596980101343,0.021150689269373885,0.7058823529411765,-0.045874197726975874,91.94117647058823,17
20,防御/修复,风险,中风险,0.019687778014145323,0.025152199411226275,0.5882352941176471,-0.05644068233915656,115.11764705882354,17
20,防御/修复,风险,高风险,0.028060720976981736,0.025330651430495708,0.5882352941176471,-0.07226241958504571,93.88235294117646,17
20,风险偏好,风险,低风险,0.0039865844471300114,-0.002261890743021903,0.4444444444444444,-0.04951964591383943,92.0,9
20,风险偏好,风险,中风险,0.0026860898551072706,-0.017661603904831725,0.3333333333333333,-0.060168369015742726,117.22222222222223,9
20,风险偏好,风险,高风险,0.007276766505465255,-0.024345073709870338,0.3333333333333333,-0.09153071485867718,93.88888888888889,9
120,大盘独涨,风险,低风险,-0.15960468145769585,-0.15960468145769585,0.0,-0.19267243940294754,92.0,1
120,大盘独涨,风险,中风险,-0.12004953913350751,-0.12004953913350751,0.0,-0.19395487087844737,113.0,1
120,大盘独涨,风险,高风险,-0.11367099479523869,-0.11367099479523869,0.0,-0.20834902468398378,93.0,1
120,防御/修复,风险,低风险,0.16643541052761393,0.17106205960156978,0.6666666666666666,-0.09440039388898443,91.66666666666667,3
120,防御/修复,风险,中风险,0.09383096201539053,0.1840346091937648,0.6666666666666666,-0.13564392989818203,113.0,3
120,防御/修复,风险,高风险,0.14782964546053692,0.1197354458563903,0.6666666666666666,-0.15677953710354553,93.66666666666667,3
120,风险偏好,风险,低风险,-0.012505756245639982,-0.010250697893542913,0.3333333333333333,-0.14288510886643602,92.0,3
120,风险偏好,风险,中风险,-0.04142726785337237,-0.08629604582933809,0.3333333333333333,-0.17456917307774603,115.0,3
120,风险偏好,风险,高风险,-0.05278899726650247,-0.10415696894901832,0.3333333333333333,-0.22500092740879044,94.0,3
