horizon_sessions,test_year,model,factor,factor_label,coefficient
5,2023,收益模型,trend_5d,5日趋势,-0.0007888383276795705
5,2023,收益模型,trend_20d,20日趋势,-6.038339798806499e-05
5,2023,收益模型,trend_60_ex_20,60日剔除近20日趋势,-0.0008016708431048008
5,2023,收益模型,trend_120_ex_20,120日剔除近20日趋势,0.0006194455614254826
5,2023,收益模型,value_bp,账面市值比（BP）,-0.00025241983483163317
5,2023,收益模型,value_ep,盈利收益率（EP）,-8.620596179603753e-05
5,2023,收益模型,liquidity_turnover_20d,20日平均换手率,-0.00041381497770209635
5,2023,收益模型,crowding_max_return_20d,20日最大单日涨幅,0.0003040749179349554
5,2023,基础回撤模型,risk_volatility_20d,20日波动率风险,0.0035391106845253538
5,2023,基础回撤模型,risk_volatility_60d,60日波动率风险,0.004697958556362297
5,2023,基础回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0024206596413633976
5,2023,基础回撤模型,risk_max_return_20d,20日最大单日涨幅风险,-0.0007302403148464986
5,2023,增强回撤模型,risk_volatility_20d,20日波动率风险,0.00046799010759842854
5,2023,增强回撤模型,risk_volatility_60d,60日波动率风险,0.0033194227186224444
5,2023,增强回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0017809094456990944
5,2023,增强回撤模型,risk_max_return_20d,20日最大单日涨幅风险,-0.00026869146856230765
5,2023,增强回撤模型,risk_downside_volatility_60d,60日下行波动率风险,0.0009387879978395262
5,2023,增强回撤模型,risk_residual_volatility_60d,60日残差波动率风险,0.0013494648351611506
5,2023,增强回撤模型,risk_liquidity_pressure_60d,60日流动性压力,-0.0006691719225126596
5,2023,增强回撤模型,risk_cvar_60d,60日尾部损失（CVaR）,-0.001548709597288593
5,2023,增强回撤模型,risk_market_beta_60d,60日沪深300 Beta,-0.001117242085128056
5,2023,增强回撤模型,risk_healthcare_beta_60d,60日医疗板块Beta,0.00033650929835633055
5,2023,增强回撤模型,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,-0.0004092611918045775
5,2023,增强回撤模型,risk_gap_extreme_down_60d,跳空与极端下跌风险,-0.00012683216804050266
5,2023,增强回撤模型,risk_crowding_quarter_change,拥挤度季度变化,-0.0006588491263528736
5,2023,增强回撤模型,risk_intraday_atr_20d,20日日内振幅/ATR,0.0037641682504312487
5,2024,收益模型,trend_5d,5日趋势,-0.0008664822004551349
5,2024,收益模型,trend_20d,20日趋势,0.00024777184233351575
5,2024,收益模型,trend_60_ex_20,60日剔除近20日趋势,-0.00038315906499594504
5,2024,收益模型,trend_120_ex_20,120日剔除近20日趋势,0.0004967441198779851
5,2024,收益模型,value_bp,账面市值比（BP）,-0.00011324276233608213
5,2024,收益模型,value_ep,盈利收益率（EP）,-0.00017161105807746453
5,2024,收益模型,liquidity_turnover_20d,20日平均换手率,-0.0004698969659834695
5,2024,收益模型,crowding_max_return_20d,20日最大单日涨幅,0.00016832520744358584
5,2024,基础回撤模型,risk_volatility_20d,20日波动率风险,0.0034629047621049357
5,2024,基础回撤模型,risk_volatility_60d,60日波动率风险,0.004253993033029556
5,2024,基础回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0018699202455423904
5,2024,基础回撤模型,risk_max_return_20d,20日最大单日涨幅风险,-0.0006281403761604122
5,2024,增强回撤模型,risk_volatility_20d,20日波动率风险,0.00021242672956327762
5,2024,增强回撤模型,risk_volatility_60d,60日波动率风险,0.0032689474625115884
5,2024,增强回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.001268959178519884
5,2024,增强回撤模型,risk_max_return_20d,20日最大单日涨幅风险,-9.714236340943481e-05
5,2024,增强回撤模型,risk_downside_volatility_60d,60日下行波动率风险,0.0006122744576905735
5,2024,增强回撤模型,risk_residual_volatility_60d,60日残差波动率风险,0.0010727296361745637
5,2024,增强回撤模型,risk_liquidity_pressure_60d,60日流动性压力,-0.000696462641225734
5,2024,增强回撤模型,risk_cvar_60d,60日尾部损失（CVaR）,-0.0013329854090708764
5,2024,增强回撤模型,risk_market_beta_60d,60日沪深300 Beta,-0.0007989322589950237
5,2024,增强回撤模型,risk_healthcare_beta_60d,60日医疗板块Beta,5.449475393319459e-05
5,2024,增强回撤模型,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,-0.0004971055905574366
5,2024,增强回撤模型,risk_gap_extreme_down_60d,跳空与极端下跌风险,2.449886583602858e-06
5,2024,增强回撤模型,risk_crowding_quarter_change,拥挤度季度变化,-0.0006806545243853205
5,2024,增强回撤模型,risk_intraday_atr_20d,20日日内振幅/ATR,0.003907729628210836
5,2025,收益模型,trend_5d,5日趋势,-0.0008930270465380429
5,2025,收益模型,trend_20d,20日趋势,0.00021833315475961357
5,2025,收益模型,trend_60_ex_20,60日剔除近20日趋势,-0.00012821432192870855
5,2025,收益模型,trend_120_ex_20,120日剔除近20日趋势,0.00035231815344106406
5,2025,收益模型,value_bp,账面市值比（BP）,-4.797720014216999e-05
5,2025,收益模型,value_ep,盈利收益率（EP）,-0.00014054365119235874
5,2025,收益模型,liquidity_turnover_20d,20日平均换手率,-0.0003352409812765155
5,2025,收益模型,crowding_max_return_20d,20日最大单日涨幅,0.00018474249947830266
5,2025,基础回撤模型,risk_volatility_20d,20日波动率风险,0.003650902118595075
5,2025,基础回撤模型,risk_volatility_60d,60日波动率风险,0.003971462965487664
5,2025,基础回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.001435591960927305
5,2025,基础回撤模型,risk_max_return_20d,20日最大单日涨幅风险,-0.00073348268843594
5,2025,增强回撤模型,risk_volatility_20d,20日波动率风险,0.00029511229062108947
5,2025,增强回撤模型,risk_volatility_60d,60日波动率风险,0.005520163091889427
5,2025,增强回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0008888391771644673
5,2025,增强回撤模型,risk_max_return_20d,20日最大单日涨幅风险,-0.00014979438093192782
5,2025,增强回撤模型,risk_downside_volatility_60d,60日下行波动率风险,0.00043662311661135845
5,2025,增强回撤模型,risk_residual_volatility_60d,60日残差波动率风险,-0.0015266539169650768
5,2025,增强回撤模型,risk_liquidity_pressure_60d,60日流动性压力,-0.0005363386997188549
5,2025,增强回撤模型,risk_cvar_60d,60日尾部损失（CVaR）,-0.0010047775657140636
5,2025,增强回撤模型,risk_market_beta_60d,60日沪深300 Beta,-0.0005503252741906132
5,2025,增强回撤模型,risk_healthcare_beta_60d,60日医疗板块Beta,-0.0005938122751165607
5,2025,增强回撤模型,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,-0.00040083432140342095
5,2025,增强回撤模型,risk_gap_extreme_down_60d,跳空与极端下跌风险,-6.960558826251794e-05
5,2025,增强回撤模型,risk_crowding_quarter_change,拥挤度季度变化,-0.0004828165857434968
5,2025,增强回撤模型,risk_intraday_atr_20d,20日日内振幅/ATR,0.004095309736306054
5,2026,收益模型,trend_5d,5日趋势,-0.0008667342997630774
5,2026,收益模型,trend_20d,20日趋势,0.00017962608130964405
5,2026,收益模型,trend_60_ex_20,60日剔除近20日趋势,-0.00018892798603356272
5,2026,收益模型,trend_120_ex_20,120日剔除近20日趋势,0.0003218969333515012
5,2026,收益模型,value_bp,账面市值比（BP）,-4.2149719658885435e-05
5,2026,收益模型,value_ep,盈利收益率（EP）,-0.0002121547688461583
5,2026,收益模型,liquidity_turnover_20d,20日平均换手率,-0.0004443089823906524
5,2026,收益模型,crowding_max_return_20d,20日最大单日涨幅,0.00012831222246972065
5,2026,基础回撤模型,risk_volatility_20d,20日波动率风险,0.0035015479674722263
5,2026,基础回撤模型,risk_volatility_60d,60日波动率风险,0.004058794829152828
5,2026,基础回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0015299211960402752
5,2026,基础回撤模型,risk_max_return_20d,20日最大单日涨幅风险,-0.0006417302768058077
5,2026,增强回撤模型,risk_volatility_20d,20日波动率风险,8.403787886361138e-05
5,2026,增强回撤模型,risk_volatility_60d,60日波动率风险,0.004853240346578635
5,2026,增强回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0010094792099444977
5,2026,增强回撤模型,risk_max_return_20d,20日最大单日涨幅风险,-3.734085083638843e-05
5,2026,增强回撤模型,risk_downside_volatility_60d,60日下行波动率风险,0.00044278330116280377
5,2026,增强回撤模型,risk_residual_volatility_60d,60日残差波动率风险,-0.0009446695216858773
5,2026,增强回撤模型,risk_liquidity_pressure_60d,60日流动性压力,-0.00047226311674138815
5,2026,增强回撤模型,risk_cvar_60d,60日尾部损失（CVaR）,-0.0008761033398754824
