ts_code,name,healthcare_subindustry,horizon_sessions,expected_return_score,drawdown_risk_score,risk_model_version,model_training_end
000028.SZ,国药一致,医药流通,5,69.03225806451613,30.967741935483872,增强回撤模型,2026-07-15
000078.SZ,ST海王,医药流通,5,86.12903225806451,99.03225806451611,增强回撤模型,2026-07-15
000403.SZ,派林生物,血制品,5,52.25806451612903,65.48387096774194,增强回撤模型,2026-07-15
000411.SZ,英特集团,医药流通,5,26.451612903225808,46.45161290322581,增强回撤模型,2026-07-15
000423.SZ,东阿阿胶,中药,5,80.96774193548387,30.0,增强回撤模型,2026-07-15
000513.SZ,丽珠集团,生物制品/生物科技,5,31.290322580645164,0.3225806451612903,增强回撤模型,2026-07-15
000516.SZ,国际医学,医疗服务,5,73.22580645161291,23.225806451612904,增强回撤模型,2026-07-15
000534.SZ,万泽股份,生物制品/创新药,5,94.83870967741936,49.354838709677416,增强回撤模型,2026-07-15
000538.SZ,云南白药,中药,5,58.387096774193544,10.64516129032258,增强回撤模型,2026-07-15
000566.SZ,海南海药,化学制药/仿制药,5,16.7741935483871,96.12903225806453,增强回撤模型,2026-07-15
000597.SZ,东北制药,化学制药/仿制药,5,84.19354838709677,2.5806451612903225,增强回撤模型,2026-07-15
000623.SZ,吉林敖东,中药,5,3.5483870967741935,33.5483870967742,增强回撤模型,2026-07-15
000650.SZ,仁和药业,中药,5,28.387096774193548,24.193548387096776,增强回撤模型,2026-07-15
000661.SZ,长春高新,生物制品/创新药,5,25.161290322580644,9.032258064516128,增强回撤模型,2026-07-15
000739.SZ,普洛药业,CXO/CDMO,5,59.354838709677416,14.516129032258066,增强回撤模型,2026-07-15
000756.SZ,新华制药,原料药,5,42.90322580645161,50.0,增强回撤模型,2026-07-15
000766.SZ,通化金马,化学制药/创新药,5,4.516129032258064,74.51612903225806,增强回撤模型,2026-07-15
000813.SZ,德展健康,化学制药/创新药,5,45.16129032258064,41.612903225806456,增强回撤模型,2026-07-15
000908.SZ,石药景峰,化学制药/创新药,5,95.16129032258064,90.0,增强回撤模型,2026-07-15
000915.SZ,华特达因,化学制药/创新药,5,24.193548387096776,4.193548387096775,增强回撤模型,2026-07-15
000950.SZ,重药控股,医药流通,5,49.354838709677416,47.096774193548384,增强回撤模型,2026-07-15
000963.SZ,华东医药,化学制药/创新药,5,23.225806451612904,35.16129032258065,增强回撤模型,2026-07-15
000989.SZ,九芝堂,中药,5,13.548387096774196,65.16129032258064,增强回撤模型,2026-07-15
000999.SZ,华润三九,中药,5,45.483870967741936,37.41935483870968,增强回撤模型,2026-07-15
002001.SZ,新和成,营养品/维生素,5,69.35483870967742,66.45161290322581,增强回撤模型,2026-07-15
002004.SZ,华邦健康,化学制药/仿制药,5,43.54838709677419,0.967741935483871,增强回撤模型,2026-07-15
002007.SZ,华兰生物,疫苗,5,64.83870967741936,23.548387096774192,增强回撤模型,2026-07-15
002019.SZ,亿帆医药,生物制品/生物科技,5,34.516129032258064,7.741935483870968,增强回撤模型,2026-07-15
002020.SZ,京新药业,化学制药/创新药,5,7.741935483870968,69.6774193548387,增强回撤模型,2026-07-15
002030.SZ,达安基因,IVD/体外诊断,5,31.61290322580645,40.96774193548387,增强回撤模型,2026-07-15
002038.SZ,双鹭药业,生物制品/生物科技,5,64.51612903225806,93.87096774193547,增强回撤模型,2026-07-15
002044.SZ,美年健康,医疗服务,5,6.451612903225806,55.483870967741936,增强回撤模型,2026-07-15
002065.SZ,东华软件,互联网医疗/医疗IT,5,72.90322580645162,32.58064516129032,增强回撤模型,2026-07-15
002082.SZ,ST万邦,中药,5,98.38709677419357,92.25806451612904,增强回撤模型,2026-07-15
002099.SZ,海翔药业,CXO/CDMO,5,93.87096774193547,5.483870967741936,增强回撤模型,2026-07-15
002102.SZ,ST能特,原料药,5,93.5483870967742,16.129032258064516,增强回撤模型,2026-07-15
002173.SZ,创新医疗,医疗服务,5,1.2903225806451613,94.19354838709675,增强回撤模型,2026-07-15
002219.SZ,新里程,医疗服务,5,91.61290322580643,45.483870967741936,增强回撤模型,2026-07-15
002223.SZ,鱼跃医疗,互联网医疗/医疗IT,5,48.70967741935484,25.161290322580644,增强回撤模型,2026-07-15
002250.SZ,联化科技,CXO/CDMO,5,14.193548387096774,46.12903225806452,增强回撤模型,2026-07-15
002252.SZ,上海莱士,血制品,5,40.96774193548387,37.096774193548384,增强回撤模型,2026-07-15
