ts_code,price_date,latest_close_qfq,trading_days,ret_5d,ret_20d,ret_60d,ret_120d,ret_250d,ma20_gap,ma60_gap,drawdown_60d,drawdown_250d,above_ma20,above_ma60,volatility_20d,market_beta_60d,healthcare_beta_60d,market_beta_percentile,healthcare_beta_percentile,market_beta_bucket,healthcare_beta_bucket,name,healthcare_subindustry,classification_confidence,market,valuation_as_of_date,latest_turnover_rate,latest_pe_ttm,latest_pb,total_mv,market_cap_100m,price_stale_days,pe_valid,pb_valid,pe_percentile_sub,pb_percentile_sub,valuation_score,valuation_status,valuation_coverage,ret_5d_market_pct,ret_5d_sub_pct,ret_20d_market_pct,ret_20d_sub_pct,ret_60d_market_pct,ret_60d_sub_pct,ret_120d_market_pct,ret_120d_sub_pct,momentum_score,overheat_score,volatility_percentile,stale_risk,risk_score,data_completeness_score,research_score,temperature,group,signal_label,subindustry_rank,subindustry_count,market_rank
600664.SH,2026-07-24,5.4,1832,0.013133208255159623,0.8430034129692834,0.47138964577656695,0.529745042492918,0.3989637305699487,0.3129102844638949,0.49343166628255375,-0.09999999999999998,-0.09999999999999998,True,True,0.9092269557651226,0.05228904897813566,1.1046282924886206,0.15161290322580645,0.6451612903225806,低Beta,中Beta,哈药股份,化学制药/仿制药,medium,主板,2026-07-24,20.8642,43.899,2.3208,1359995.346,135.9995346,0,True,True,0.8571428571428571,0.36363636363636365,34.02597402597403,PE+PB有效,1.0,0.8414239482200647,0.9090909090909091,1.0,1.0,1.0,1.0,0.9772727272727273,1.0,96.93553659573077,96.74757281553397,0.8354838709677419,0.0,84.43297839022861,100.0,69.00286870539767,过热,B,强趋势高过热,1,11,1
300759.SZ,2026-07-24,38.53,1815,0.08596392333709146,0.4734475279838588,0.3222345358518637,0.23901402353147505,0.46288717225707887,0.1313176813883048,0.37232835976057,-0.043920595533498696,-0.043920595533498696,True,True,0.7648411250072902,0.7664177103236739,1.1429703238824127,0.8096774193548387,0.6806451612903226,高Beta,高Beta,康龙化成,CXO/CDMO,high,创业板,2026-07-24,5.3929,41.7968,4.3012,7079053.7108,707.90537108,0,True,True,0.44,0.6333333333333333,48.266666666666666,PE+PB有效,1.0,0.970873786407767,0.8333333333333334,0.9902912621359223,1.0,0.9805825242718447,0.9333333333333333,0.935064935064935,0.8,96.28162937658516,98.9967637540453,0.6903225806451613,0.0,83.10418624073493,100.0,72.37001635650752,过热,B,强趋势高过热,1,30,2
688758.SH,2026-07-24,24.83,371,0.05684380795952215,0.29683542268366314,0.2381521688476549,0.2954859581439304,0.42197648107483876,0.08838020789958012,0.21783798587036562,-0.07763744427934638,-0.07763744427934638,True,True,0.7269077776390334,0.6065407026883046,0.8062212450360431,0.7,0.3387096774193548,高Beta,中Beta,赛分科技,生物制品/生物科技,medium,科创板,2026-07-24,4.9942,74.7639,7.459,1034080.3603,103.40803602999999,0,True,True,0.8235294117647058,0.9,14.588235294117649,PE+PB有效,1.0,0.948220064724919,1.0,0.9676375404530745,1.0,0.9676375404530745,0.95,0.948051948051948,1.0,94.58088688772438,96.06796116504854,0.6580645161290323,0.0,80.40886313811461,100.0,63.334261485446845,过热,B,强趋势高过热,1,20,3
002422.SZ,2026-07-24,46.65,1833,0.03874415497661987,0.3103932584269662,0.42330666946287754,0.487758292231008,0.44536209788328684,0.023015098518656574,0.21897274544425693,-0.09152872444011695,-0.09152872444011695,True,True,0.942092341630376,0.6371624548375863,1.6265141029371195,0.7258064516129032,0.9258064516129032,高Beta,高Beta,科伦药业,化学制药/创新药,medium,主板,2026-07-24,4.1766,47.2256,3.012,7420994.298,742.0994298,0,True,True,0.6666666666666666,0.625,35.0,PE+PB有效,1.0,0.9029126213592233,0.96875,0.970873786407767,0.96875,0.9967637540453075,1.0,0.9707792207792207,1.0,94.05518576391779,91.19741100323624,0.8741935483870967,0.0,81.3220586700073,100.0,67.98480265784958,过热,B,强趋势高过热,1,32,4
688796.SH,2026-07-24,127.75,150,0.09188034188034178,0.38662759144686865,0.29445739183301245,0.9312169312169309,,0.0819760991267966,0.2272698888972502,-0.10269017349160636,-0.10269017349160636,True,True,1.2781366875388753,1.0041984189654207,1.9319784781084317,0.9129032258064517,0.9774193548387097,高Beta,高Beta,百奥赛图,CXO/CDMO,high,科创板,2026-07-24,7.3788,196.541,25.0206,5709127.06,570.912706,0,True,True,1.0,1.0,0.0,PE+PB有效,1.0,0.9773462783171522,0.9,0.9773462783171522,0.9333333333333333,0.9741100323624595,0.9,1.0,1.0,93.17556799876279,95.04854368932038,0.9903225806451613,0.0,86.3404321954275,100.0,57.954275969943545,过热,B,强趋势高过热,2,30,5
688266.SH,2026-07-24,135.95,1574,0.04488509722542444,0.27294007490636707,0.35949999999999993,0.5900584795321635,0.07888262836282811,0.0005851159744023615,0.23001063083847906,-0.07767978290366362,-0.07767978290366362,True,True,0.899774560284519,0.5016427044776174,1.1798744993767918,0.6419354838709678,0.7064516129032258,中Beta,高Beta,泽璟制药,生物制品/创新药,medium,科创板,2026-07-24,2.4907,72.2736,21.0076,3598707.979,359.87079789999996,0,True,True,0.875,0.8928571428571429,11.785714285714285,PE+PB有效,1.0,0.919093851132686,0.8928571428571429,0.9579288025889967,0.8928571428571429,0.9902912621359223,1.0,0.987012987012987,1.0,92.37869471902847,86.87702265372167,0.8290322580645161,0.0,77.39456101889547,100.0,61.76446125001133,偏热,A,强趋势低过热,1,28,6
688578.SH,2026-07-24,119.24,1368,0.03958151700087176,0.27570343425698085,0.31658942234494125,0.22759610930986574,0.21689025711580712,-0.02862240180524378,0.19006720578739555,-0.10345864661654136,-0.10345864661654136,False,True,1.0192699399761525,0.8811519797407621,1.6238612317871417,0.864516129032258,0.9193548387096774,高Beta,高Beta,艾力斯,生物制品/生物科技,medium,科创板,2026-07-24,2.2237,22.2219,6.9292,5365800.0,536.58,0,True,True,0.29411764705882354,0.85,48.35294117647058,PE+PB有效,1.0,0.9061488673139159,0.95,0.9611650485436893,0.95,0.9773462783171522,1.0,0.9318181818181818,0.95,92.14143491066828,77.07119741100324,0.9096774193548387,0.0,72.14338657479904,100.0,71.55158825429875,偏热,B,强趋势低过热,2,20,7
688382.SH,2026-07-24,23.81,970,0.05587583148558739,0.49185463659147843,0.037472766884531605,-0.07962891379976811,-0.3404432132963989,0.04146618843495764,0.16432215684037255,-0.08563748079877109,-0.5029227557411273,True,True,1.0777230908175923,0.7342354071363589,1.8368842374742678,0.7967741935483871,0.964516129032258,高Beta,高Beta,益方生物,生物制品/创新药,medium,科创板,2026-07-24,2.9081,,9.2258,1380008.552,138.0008552,0,False,True,,0.6785714285714286,27.32142857142857,仅PB有效,0.4,0.9385113268608414,0.9285714285714286,0.9935275080906149,0.9642857142857143,0.883495145631068,0.8571428571428571,0.762987012987013,0.75,90.95788118267478,93.75404530744336,0.9419354838709677,0.0,84.46654139262971,73.00000000000001,63.73510464356755,过热,B,强趋势高过热,2,28,8
301087.SZ,2026-07-24,53.73,1153,0.1156561461794019,0.2363092498849515,-0.006104328523862446,-0.006167848538337739,0.5749828735024967,0.07294766060267177,0.11115706752145593,0.0,-0.11016229008486145,True,True,0.5194720923179724,0.5569855038771323,0.8946477063049759,0.6838709677419355,0.4129032258064516,高Beta,中Beta,可孚医疗,医疗耗材,high,创业板,2026-07-24,1.8131,32.7322,2.6786,1267474.581,126.7474581,0,True,True,0.5217391304347826,0.48,49.495652173913044,PE+PB有效,1.0,0.9870550161812298,0.96,0.941747572815534,0.96,0.8381877022653722,0.92,0.8311688311688312,0.7916666666666666,90.94600613149959,95.98705501618122,0.4161290322580645,0.0,75.51351915648814,100.0,70.61448884890478,过热,B,强趋势高过热,1,25,9
603233.SH,2026-07-24,18.4,1833,-0.009154550350026991,0.24324324324324298,0.02066099977887803,-0.04601534694034504,0.11402375586588831,0.03312745648512072,0.08164282288492597,-0.06504065040650409,-0.10746146704808957,True,True,0.5099000525059908,0.2816792049089468,0.7740013682391647,0.4032258064516129,0.29354838709677417,中Beta,低Beta,大参林,零售药房,high,主板,2026-07-24,0.4249,16.2897,2.728,2095492.28,209.549228,0,True,True,0.3333333333333333,1.0,40.0,PE+PB有效,1.0,0.7443365695792881,0.8333333333333334,0.9546925566343042,1.0,0.8705501618122977,1.0,0.7987012987012987,0.8333333333333334,89.77596514193547,91.97411003236246,0.3967741935483871,0.0,72.31736089362147,100.0,68.01797495111806,过热,B,强趋势高过热,1,6,10
