test_year,horizon_sessions,healthcare_benchmark,model,factor,factor_label,standardized_coefficient
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_60d,60日大盘Beta,-0.0012861743264188893
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_60d,60日医药Beta,-0.002445352464389841
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_return_20d,沪深300 20日收益,-1.0187592233894915e-17
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_return_20d,医药指数20日收益,7.213042478713727e-18
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_relative_20d,医药相对大盘20日强弱,-4.3462201727840796e-18
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_ma60_gap,沪深300距MA60,7.521828421882592e-18
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_ma60_gap,医药指数距MA60,-2.8712227621127137e-18
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_return,大盘Beta×沪深300趋势,0.001407730380905856
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_return,医药Beta×医药趋势,0.0014199335167981006
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_relative_strength,医药Beta×医药相对强弱,-0.0012573382156196888
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_ma60,大盘Beta×大盘MA60位置,-0.0010808471676096963
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_ma60,医药Beta×医药MA60位置,-0.001551184811659555
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_change_60d,大盘Beta近期变化,0.0010037925112141822
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_change_60d,医药Beta近期变化,0.0006056283395848223
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_momentum_20d,20日残差动量,-0.0007683010075390711
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_volatility_60d,60日残差波动率,0.000251982140109505
2023,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,two_factor_r_squared_60d,双因子拟合度R²,0.0023728695689048483
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_60d,60日大盘Beta,-0.0007686142696683955
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_60d,60日医药Beta,-0.001126698143421122
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_return_20d,沪深300 20日收益,2.5622121084014053e-18
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_return_20d,医药指数20日收益,-2.8472321012055635e-18
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_relative_20d,医药相对大盘20日强弱,2.7816408889277127e-18
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_ma60_gap,沪深300距MA60,-4.422672216857664e-19
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_ma60_gap,医药指数距MA60,2.804761726523386e-19
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_return,大盘Beta×沪深300趋势,0.0004961605913265112
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_return,医药Beta×医药趋势,0.0010693600501951069
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_relative_strength,医药Beta×医药相对强弱,-0.0006692431501483209
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_ma60,大盘Beta×大盘MA60位置,-0.000610812152686987
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_ma60,医药Beta×医药MA60位置,-0.0016432783277160743
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_change_60d,大盘Beta近期变化,0.0013419705523109047
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_change_60d,医药Beta近期变化,0.0006622627267762603
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_momentum_20d,20日残差动量,-0.0006525541320715877
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_volatility_60d,60日残差波动率,-0.0007643102762881812
2024,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,two_factor_r_squared_60d,双因子拟合度R²,0.001335171613009597
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_60d,60日大盘Beta,-0.0013753896353114396
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_60d,60日医药Beta,-0.0007493597785101252
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_return_20d,沪深300 20日收益,-6.852374703179227e-19
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_return_20d,医药指数20日收益,6.699620099874852e-19
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_relative_20d,医药相对大盘20日强弱,-3.293965184128071e-19
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_ma60_gap,沪深300距MA60,3.244797304461101e-19
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_ma60_gap,医药指数距MA60,-1.2244135069428322e-19
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_return,大盘Beta×沪深300趋势,-0.0018582951522085316
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_return,医药Beta×医药趋势,-5.3593478687723296e-05
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_relative_strength,医药Beta×医药相对强弱,-0.00016041888277653428
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_ma60,大盘Beta×大盘MA60位置,4.996141703587583e-05
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_ma60,医药Beta×医药MA60位置,-0.0016227244551205492
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_change_60d,大盘Beta近期变化,0.0006867906595986948
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_change_60d,医药Beta近期变化,-0.00018306338385051387
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_momentum_20d,20日残差动量,-0.0009085096100255899
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_volatility_60d,60日残差波动率,-0.0011788791559910238
2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,two_factor_r_squared_60d,双因子拟合度R²,0.0007508388909248743
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_60d,60日大盘Beta,-0.000283816970364687
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_60d,60日医药Beta,0.0009895358914147351
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_return_20d,沪深300 20日收益,5.6295474283316785e-18
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_return_20d,医药指数20日收益,-7.554464848786018e-18
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_relative_20d,医药相对大盘20日强弱,6.271426920464621e-18
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_ma60_gap,沪深300距MA60,-6.433802066527495e-19
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_ma60_gap,医药指数距MA60,8.353290962691408e-19
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_return,大盘Beta×沪深300趋势,-0.0015903468657166044
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_return,医药Beta×医药趋势,0.0003634610418949509
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_relative_strength,医药Beta×医药相对强弱,-0.0003269247202720223
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_ma60,大盘Beta×大盘MA60位置,-4.8689184064267335e-05
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_ma60,医药Beta×医药MA60位置,-0.0015853602876603012
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_change_60d,大盘Beta近期变化,0.00015124184449884389
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_change_60d,医药Beta近期变化,-0.0006330919933898067
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_momentum_20d,20日残差动量,-0.0007505025803452675
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_volatility_60d,60日残差波动率,-0.0018390546986597352
2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化,two_factor_r_squared_60d,双因子拟合度R²,-0.00011861741529934044
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_60d,60日大盘Beta,-0.008775119439703858
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_60d,60日医药Beta,-0.011687792066241086
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_return_20d,沪深300 20日收益,7.108916214382154e-17
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_return_20d,医药指数20日收益,-6.597757178143647e-17
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_relative_20d,医药相对大盘20日强弱,7.081070480943569e-17
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_ma60_gap,沪深300距MA60,-8.259365539631292e-18
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_ma60_gap,医药指数距MA60,-4.082005988834747e-18
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_return,大盘Beta×沪深300趋势,0.006728776068556041
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_return,医药Beta×医药趋势,-0.0028870111379209994
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_relative_strength,医药Beta×医药相对强弱,-0.0046260543373227445
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_ma60,大盘Beta×大盘MA60位置,-0.007857266036734901
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_ma60,医药Beta×医药MA60位置,0.002527515365366762
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_change_60d,大盘Beta近期变化,0.003903462873147238
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_change_60d,医药Beta近期变化,0.0009688397757159785
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_momentum_20d,20日残差动量,-0.001186134222521944
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_volatility_60d,60日残差波动率,0.00237105141727179
2023,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,two_factor_r_squared_60d,双因子拟合度R²,0.010275416102657635
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_60d,60日大盘Beta,-0.004619129059051844
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_60d,60日医药Beta,-0.005903390107581196
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_return_20d,沪深300 20日收益,-4.5455993086297e-17
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_return_20d,医药指数20日收益,5.2692455329454625e-17
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_relative_20d,医药相对大盘20日强弱,-5.715151418661237e-17
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_ma60_gap,沪深300距MA60,-1.3160864128555952e-18
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_ma60_gap,医药指数距MA60,2.9259258221605916e-19
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_return,大盘Beta×沪深300趋势,0.005567905663772823
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_return,医药Beta×医药趋势,0.001312017855428475
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_relative_strength,医药Beta×医药相对强弱,-0.003483201616906872
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_ma60,大盘Beta×大盘MA60位置,-0.00697188803968992
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_ma60,医药Beta×医药MA60位置,-0.00319371215656432
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_change_60d,大盘Beta近期变化,0.0048538010443438875
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_change_60d,医药Beta近期变化,0.0018133040529701313
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_momentum_20d,20日残差动量,-0.0030351424532355973
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_volatility_60d,60日残差波动率,-0.0022817687452973707
2024,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,two_factor_r_squared_60d,双因子拟合度R²,0.0057137391177692134
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_60d,60日大盘Beta,-0.0051942519387446415
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_60d,60日医药Beta,-0.0007644419371308392
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_return_20d,沪深300 20日收益,-1.1617818016728771e-18
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_return_20d,医药指数20日收益,1.1177016594171134e-17
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_relative_20d,医药相对大盘20日强弱,-1.1295735856980167e-17
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_ma60_gap,沪深300距MA60,-8.34895053344114e-18
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_ma60_gap,医药指数距MA60,3.0153333478836364e-18
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_return,大盘Beta×沪深300趋势,-0.0022118796387674815
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_return,医药Beta×医药趋势,-0.004258632909688081
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_relative_strength,医药Beta×医药相对强弱,-0.00820584877705635
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_x_market_ma60,大盘Beta×大盘MA60位置,-0.0034581864371341035
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_x_healthcare_ma60,医药Beta×医药MA60位置,-0.0006457439024771405
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_change_60d,大盘Beta近期变化,0.0015859469452838128
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,healthcare_beta_change_60d,医药Beta近期变化,-0.0027734402105889636
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_momentum_20d,20日残差动量,-0.002928968983770472
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,residual_volatility_60d,60日残差波动率,-0.004806324770074287
2025,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,two_factor_r_squared_60d,双因子拟合度R²,0.002010536266100983
2026,20,动态申万成分等权,4. 交互项+残差动量+Beta变化,market_beta_60d,60日大盘Beta,-0.002467360860480478
