entry_date,eligible_count,usable_target_count
2019-07-03,293,293
2019-07-31,300,300
2019-08-28,300,300
2019-09-26,300,300
2019-10-31,300,300
2019-11-28,300,300
2019-12-26,300,300
2020-02-03,300,300
2020-03-02,300,300
2020-03-30,300,300
2020-04-28,300,300
2020-05-29,303,303
2020-06-30,306,306
2020-07-28,309,309
2020-08-25,309,309
2020-09-22,311,311
2020-10-28,314,314
2020-11-25,314,314
2020-12-23,317,317
2021-01-21,317,317
2021-02-25,318,318
2021-03-25,318,318
2021-04-23,319,319
2021-05-26,320,320
2021-06-24,319,319
2021-07-22,321,321
2021-08-19,323,323
2021-09-16,324,324
2021-10-25,327,327
2021-11-22,330,330
2021-12-20,333,333
2022-01-18,336,336
2022-02-22,339,339
2022-03-22,342,342
2022-04-21,346,346
2022-05-24,347,347
2022-06-22,345,345
2022-07-20,347,347
2022-08-17,352,352
2022-09-15,352,352
2022-10-20,354,354
2022-11-17,357,357
2022-12-15,359,359
2023-01-13,360,360
2023-02-17,360,360
2023-03-17,361,361
2023-04-17,364,364
2023-05-18,365,365
2023-06-15,362,362
2023-07-17,362,362
2023-08-14,365,365
2023-09-11,365,365
2023-10-17,473,473
2023-11-14,473,473
2023-12-12,473,473
2024-01-10,473,473
2024-02-07,473,473
2024-03-14,473,473
2024-04-15,473,473
2024-05-16,473,473
2024-06-14,472,472
2024-07-12,473,473
2024-08-09,472,472
2024-09-06,472,472
2024-10-15,473,473
2024-11-12,473,473
2024-12-10,475,475
2025-01-08,475,475
2025-02-13,477,477
2025-03-13,477,477
2025-04-11,476,476
2025-05-14,474,474
2025-06-12,474,474
2025-07-10,474,474
2025-08-07,474,474
2025-09-04,474,474
2025-10-10,475,475
2025-11-07,477,477
2025-12-05,477,477
2026-01-06,478,478
2026-02-03,479,479
2026-03-11,479,479
2026-04-09,479,479
2026-05-12,479,479
2026-06-09,479,479
