horizon_sessions,trend_bucket,risk_bucket,average_forward_return,average_forward_drawdown,average_stock_count,period_count
5,弱趋势,低风险,0.0020578937506629752,-0.01950705338775497,45.16438356164384,146
5,弱趋势,中风险,0.001393693938899832,-0.022952421513800197,47.97945205479452,146
5,弱趋势,高风险,0.002384806400967032,-0.02986863477092562,24.965753424657535,146
5,中趋势,低风险,0.0017311737789813078,-0.018678879371487205,44.14383561643836,146
5,中趋势,中风险,0.0012740046382010968,-0.02287847337897439,57.32876712328767,146
5,中趋势,高风险,0.002159828778507935,-0.03002126707780944,41.83561643835616,146
5,强趋势,低风险,0.009371421527081149,-0.020321444509049456,3.3017241379310347,116
5,强趋势,中风险,0.0002966520018695428,-0.027827210869205428,10.746575342465754,146
5,强趋势,高风险,0.0021428509255595456,-0.03632011789630588,27.143835616438356,146
20,弱趋势,低风险,0.009115210139983704,-0.05058056538208444,45.2972972972973,37
20,弱趋势,中风险,0.00707390227675765,-0.05953776268354318,47.78378378378378,37
20,弱趋势,高风险,0.006838395076857732,-0.07803209989974272,24.81081081081081,37
20,中趋势,低风险,0.009765053359648414,-0.046211377971406786,44.189189189189186,37
20,中趋势,中风险,0.002889296131663678,-0.058682154716315486,57.729729729729726,37
20,中趋势,高风险,0.006645815569371142,-0.07811500525677323,41.810810810810814,37
20,强趋势,低风险,0.015137824937361714,-0.0568375417030619,2.933333333333333,30
20,强趋势,中风险,0.003348827171327778,-0.06304204836148815,10.35135135135135,37
20,强趋势,高风险,0.008002318511916212,-0.08692009401706681,27.2972972972973,37
120,弱趋势,低风险,0.02076253898340602,-0.14146512978259368,45.57142857142857,7
120,弱趋势,中风险,-0.02022656808477489,-0.17463143651629529,47.714285714285715,7
120,弱趋势,高风险,0.03467889888808744,-0.2031549974534599,26.428571428571427,7
120,中趋势,低风险,0.06364416627857276,-0.11901300158276214,44.0,7
120,中趋势,中风险,0.007344978914914817,-0.1531698227823775,55.57142857142857,7
120,中趋势,高风险,0.034634794991878035,-0.17569477901299027,41.285714285714285,7
120,强趋势,低风险,0.11110927933970965,-0.09881120996454655,2.6666666666666665,6
120,强趋势,中风险,0.038810565933942005,-0.16728364772705331,10.571428571428571,7
120,强趋势,高风险,0.037135315014139414,-0.1843349636658886,26.0,7
